CENTRE,8.5 Herb 8,1L Herb 8,Straw 9,Straw 10,Straw 11,Straw 12,Straw 13,Straw 14,Straw 15,Straw 16,Straw 17,Straw 18,Straw 19,Straw 20,Straw 21,Straw 22,8.5cm Straw 9,8.5cm Straw 10,8.5cm Straw 11,8.5cm Straw 12,8.5cm Straw 13,8.5cm Straw 14,8.5cm Straw 15,8.5cm Straw 16,8.5cm Straw 17,8.5cm Straw 18,8.5cm Straw 19,8.5cm Straw 20,8.5cm Straw 21,8.5cm Straw 22,SPEA 9,SPEA 10,SPEA 11,SPEA 12,SPEA 13,SPEA 14,SPEA 15,SPEA 16,SPEA 17,SPEA 18,SPEA 19,8.5cm S/Peas 10,8.5cm S/Peas 11,8.5cm S/Peas 12,8.5cm S/Peas 13,8.5cm S/Peas 14,8.5cm S/Peas 15,8.5cm S/Peas 16,8.5cm S/Peas 17,8.5cm S/Peas 18,8.5cm S/Peas 19,Grafted 14,Grafted 16,Grafted 18,Grafted Chilli 14,Grafted Chilli 16,Grafted Chilli 18,Dyna Chilli 15,Dyna Chilli 17,P/Bean 15,P/Bean 17,P/Bean 19,Sweet Potato 17,Heritage Tom 18,Heritage Tom 20,1L Veg 20,1L Veg 22,Autumn Strip,Wildflower Week 12
Knights Plant and Life Betchworth,,,,,,15,,,,,,,,,,,,16,,,,,16,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,20,,,3,,,,,,,,8,16,,,,,
Knights Plant and Life Nags Hall,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,30,,,3,,,,,,,,8,16,,,,,
Lakeside Plant Centre,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langton Greenhouse & GC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,30,,,,,,,,,,
Ludlow,,,,,,,,,,,,,,,,,,,16,,,,16,16,,,,,,,,,,,,,,,,,,,16,,,,16,16,,,,,,,,,,,,,,,8,16,,,,,
Lydstep Garden Centre,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynch Lane,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,
Mayberry (Tate Bros),,,15,,15,,,,15,,15,,,,,,,,,,,,,,,,,,,,15,,15,,,,,,15,,,,,,,,,,,,,20,,,,,,,,,,,,,,20,,,16
Millbrook Garden Centre Monmouth,,,15,,15,,15,,15,,15,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,20,,20,,,,16,16,16,16,16,16,16,,,20,30,
Millbrook Gravesend,,,30,,30,,30,,30,,30,,,,,,,,,,,,,,,,,,,,15,,,15,30,,15,,15,,,,,,,,,,,,,20,20,20,,,,16,16,16,,16,16,30,,30,30,,
Millbrook Highgrove,,,15,,15,,15,,15,,15,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,20,,,,,,16,,,,,6,16,,,20,,
Milton Ernest,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,15,,15,,,,,,,,,,,,,,,,,,,,,30,,,16,,,,20,,,
Miltons Wallpaper (Seasons Burton),,,,,,15,,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,,16,,16,,20,,,
Monkton Elm Garden Centre,30,30,30,,30,30,30,30,30,30,30,,,,,,,,16,,16,,,16,,16,,16,,,15,,,15,,15,,,15,,,,16,,,,,16,,,,,,,,,,16,16,16,16,,12,30,,30,30,,
Munro's Nurseries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,,16,,16,,,,,,,,,,,,,,,,,,,
Norton,,,15,,15,,15,,15,,15,,,,,,,30,,,,,,,,,,,,,15,,15,,15,,15,,15,,,30,,,,,,,,,,20,,,6,,,16,,,,16,,16,,,,,
Notcutts,,,,,,,,,,,,,,,,,304,,,,,,,,,,,,,,570,,,,,,,,,,,,304,,,,,,,,,340,,,,,,,,420,,,168,304,,520,520,,
Oakington Garden Centre,,,15,,,,15,,,,15,,,,,,16,,,,16,,,16,,,,,,,15,,,,15,,,,,,,16,,,,,,,,,,20,,,,,,16,,16,16,,,16,,30,,,
Oaktree Garden Centre,,,15,,,15,30,,30,,15,,,,,,,,16,,16,,,,,,,,,,15,,,15,,15,,15,,,,,,,16,,16,,,,,20,20,,3,3,,16,16,16,16,16,8,16,,20,,,
Okells,,,,,,,,15,,15,,,,,,,,,,,,,,,,,,,,,,,,,,15,,15,,,,,,,,,,,,,,,30,,,,,16,,,16,16,,16,,,20,,
